wiki_db	year	month	day	user_type	edit_bucket	all_reverts	bot_reverts	reverted_bot_reverts	bot	reg_date	date	bot_reverts_percent	reverted_bot_reverts_percent
bgwiki	2020	10	1	registered	500+	2	0	0	PSS 9	2017-03-01	2020-10-01	0.0	0.0
bgwiki	2020	10	1	registered	0-99	4	1	0	PSS 9	2017-03-01	2020-10-01	25.0	0.0
bgwiki	2020	10	1	anon	n/a	54	1	0	PSS 9	2017-03-01	2020-10-01	1.8518518518518516	0.0
bgwiki	2020	10	10	registered	100-499	1	0	0	PSS 9	2017-03-01	2020-10-10	0.0	0.0
bgwiki	2020	10	10	registered	0-99	5	1	0	PSS 9	2017-03-01	2020-10-10	20.0	0.0
bgwiki	2020	10	10	anon	n/a	45	1	0	PSS 9	2017-03-01	2020-10-10	2.2222222222222223	0.0
bgwiki	2020	10	10	registered	500+	6	0	0	PSS 9	2017-03-01	2020-10-10	0.0	0.0
bgwiki	2020	10	11	registered	500+	23	0	0	PSS 9	2017-03-01	2020-10-11	0.0	0.0
bgwiki	2020	10	11	registered	0-99	3	0	0	PSS 9	2017-03-01	2020-10-11	0.0	0.0
bgwiki	2020	10	11	registered	100-499	6	0	0	PSS 9	2017-03-01	2020-10-11	0.0	0.0
bgwiki	2020	10	11	anon	n/a	27	2	0	PSS 9	2017-03-01	2020-10-11	7.4074074074074066	0.0
bgwiki	2020	10	12	anon	n/a	31	2	0	PSS 9	2017-03-01	2020-10-12	6.451612903225806	0.0
bgwiki	2020	10	12	registered	100-499	2	0	0	PSS 9	2017-03-01	2020-10-12	0.0	0.0
bgwiki	2020	10	12	registered	500+	3	0	0	PSS 9	2017-03-01	2020-10-12	0.0	0.0
bgwiki	2020	10	12	registered	0-99	9	1	0	PSS 9	2017-03-01	2020-10-12	11.11111111111111	0.0
bgwiki	2020	10	13	anon	n/a	51	4	0	PSS 9	2017-03-01	2020-10-13	7.8431372549019605	0.0
bgwiki	2020	10	13	registered	0-99	3	0	0	PSS 9	2017-03-01	2020-10-13	0.0	0.0
bgwiki	2020	10	13	registered	500+	6	0	0	PSS 9	2017-03-01	2020-10-13	0.0	0.0
bgwiki	2020	10	13	registered	100-499	2	0	0	PSS 9	2017-03-01	2020-10-13	0.0	0.0
bgwiki	2020	10	14	registered	0-99	3	0	0	PSS 9	2017-03-01	2020-10-14	0.0	0.0
bgwiki	2020	10	14	registered	500+	11	0	0	PSS 9	2017-03-01	2020-10-14	0.0	0.0
bgwiki	2020	10	14	registered	100-499	10	0	0	PSS 9	2017-03-01	2020-10-14	0.0	0.0
bgwiki	2020	10	14	anon	n/a	32	3	0	PSS 9	2017-03-01	2020-10-14	9.375	0.0
bgwiki	2020	10	15	registered	100-499	8	0	0	PSS 9	2017-03-01	2020-10-15	0.0	0.0
bgwiki	2020	10	15	anon	n/a	32	1	0	PSS 9	2017-03-01	2020-10-15	3.125	0.0
bgwiki	2020	10	15	registered	0-99	4	0	0	PSS 9	2017-03-01	2020-10-15	0.0	0.0
bgwiki	2020	10	15	registered	500+	2	0	0	PSS 9	2017-03-01	2020-10-15	0.0	0.0
bgwiki	2020	10	16	anon	n/a	33	0	0	PSS 9	2017-03-01	2020-10-16	0.0	0.0
bgwiki	2020	10	16	registered	0-99	11	0	0	PSS 9	2017-03-01	2020-10-16	0.0	0.0
bgwiki	2020	10	16	registered	500+	10	0	0	PSS 9	2017-03-01	2020-10-16	0.0	0.0
bgwiki	2020	10	16	registered	100-499	2	0	0	PSS 9	2017-03-01	2020-10-16	0.0	0.0
bgwiki	2020	10	17	registered	0-99	7	0	0	PSS 9	2017-03-01	2020-10-17	0.0	0.0
bgwiki	2020	10	17	registered	100-499	1	0	0	PSS 9	2017-03-01	2020-10-17	0.0	0.0
bgwiki	2020	10	17	registered	500+	4	0	0	PSS 9	2017-03-01	2020-10-17	0.0	0.0
bgwiki	2020	10	17	anon	n/a	20	1	0	PSS 9	2017-03-01	2020-10-17	5.0	0.0
bgwiki	2020	10	18	registered	500+	6	0	0	PSS 9	2017-03-01	2020-10-18	0.0	0.0
bgwiki	2020	10	18	anon	n/a	33	1	0	PSS 9	2017-03-01	2020-10-18	3.0303030303030303	0.0
bgwiki	2020	10	18	registered	0-99	2	0	0	PSS 9	2017-03-01	2020-10-18	0.0	0.0
bgwiki	2020	10	18	registered	100-499	3	0	0	PSS 9	2017-03-01	2020-10-18	0.0	0.0
bgwiki	2020	10	19	registered	500+	7	0	0	PSS 9	2017-03-01	2020-10-19	0.0	0.0
bgwiki	2020	10	19	anon	n/a	37	1	0	PSS 9	2017-03-01	2020-10-19	2.7027027027027026	0.0
bgwiki	2020	10	19	registered	0-99	4	0	0	PSS 9	2017-03-01	2020-10-19	0.0	0.0
bgwiki	2020	10	2	anon	n/a	39	2	1	PSS 9	2017-03-01	2020-10-02	5.128205128205128	50.0
bgwiki	2020	10	2	registered	0-99	7	2	0	PSS 9	2017-03-01	2020-10-02	28.57142857142857	0.0
