wiki_db	bot	user_type	edit_bucket	all_reverts	bot_reverts	reverted_bot_reverts	n_days	bot_reverts_percent	reverted_bot_reverts_percent
bgwiki	PSS 9	anon	n/a	44	4	0.2	899	8.7	4.9
bgwiki	PSS 9	registered	0-99	10	2	0.4	328	25.3	17.0
bgwiki	PSS 9	registered	100-499	3	1	0.3	14	57.9	28.6
bgwiki	PSS 9	registered	500+	15	7	2.5	2	38.8	65.4
enwiki	ClueBot NG	anon	n/a	4069	266	23.1	1090	6.2	8.5
enwiki	ClueBot NG	registered	0-99	1249	91	10.6	1089	7.1	11.5
enwiki	ClueBot NG	registered	100-499	296	1	0.7	7	0.4	71.4
enwiki	ClueBot NG	registered	500+	1165	1	0.0	3	0.1	0.0
eswiki	SeroBOT	anon	n/a	1666	846	71.3	1092	49.7	8.7
eswiki	SeroBOT	registered	0-99	221	50	6.7	1092	21.9	13.2
eswiki	SeroBOT	registered	100-499	45	2	0.8	384	5.5	33.1
eswiki	SeroBOT	registered	500+	260	2	0.9	272	0.7	43.7
fawiki	Dexbot	anon	n/a	385	273	30.5	347	69.9	11.1
fawiki	Dexbot	registered	0-99	81	2	0.4	23	2.1	8.2
fawiki	Dexbot	registered	100-499	21	1	0.0	18	7.5	0.0
fawiki	Dexbot	registered	500+	76	30	1.6	117	8.5	2.9
frwiki	Salebot	anon	n/a	477	21	2.1	1064	4.0	9.8
frwiki	Salebot	registered	0-99	130	6	0.9	1014	4.6	14.4
frwiki	Salebot	registered	100-499	26	2	0.3	7	6.8	28.6
frwiki	Salebot	registered	500+	116	1	0.5	8	0.9	50.0
rowiki	PatrocleBot	anon	n/a	44	8	0.8	429	17.4	8.6
rowiki	PatrocleBot	registered	0-99	12	1	0.2	22	17.8	9.1
ruwiki	Рейму Хакурей	anon	n/a	507	65	8.1	1068	12.5	13.0
ruwiki	Рейму Хакурей	registered	0-99	91	3	0.3	842	2.8	13.9
ruwiki	Рейму Хакурей	registered	100-499	22	1	0.4	41	5.4	43.9
ruwiki	Рейму Хакурей	registered	500+	115	1	0.7	9	1.1	50.0
simplewiki	ChenzwBot	anon	n/a	65	15	1.7	890	24.2	11.3
simplewiki	ChenzwBot	registered	0-99	15	2	0.3	538	17.2	17.1
