wiki_db	user_type	edit_bucket	bot	reverted_bot_reverts	bot_reverts_by_base_editor	year	month	day
eswiki	anonymous	n/a	SeroBOT	68	39	2020	8	10
eswiki	anonymous	n/a	SeroBOT	51	26	2023	2	23
eswiki	anonymous	n/a	SeroBOT	73	46	2022	1	4
simplewiki	anonymous	n/a	ChenzwBot	3	3	2023	3	21
eswiki	anonymous	n/a	SeroBOT	40	22	2023	6	2
ruwiki	anonymous	n/a	Рейму Хакурей	13	5	2021	7	15
enwiki	registered	0-99	ClueBot NG	10	3	2020	7	2
enwiki	registered	0-99	ClueBot NG	10	2	2021	5	24
eswiki	anonymous	n/a	SeroBOT	66	33	2022	2	17
eswiki	registered	0-99	SeroBOT	20	20	2023	3	18
ruwiki	anonymous	n/a	Рейму Хакурей	12	5	2021	9	30
enwiki	registered	0-99	ClueBot NG	16	9	2020	12	28
eswiki	anonymous	n/a	SeroBOT	79	48	2022	10	17
enwiki	anonymous	n/a	ClueBot NG	38	15	2020	9	8
enwiki	anonymous	n/a	ClueBot NG	24	10	2021	9	18
ruwiki	anonymous	n/a	Рейму Хакурей	8	0	2020	11	13
ruwiki	anonymous	n/a	Рейму Хакурей	2	1	2021	12	16
enwiki	anonymous	n/a	ClueBot NG	34	11	2020	8	16
enwiki	registered	0-99	ClueBot NG	6	3	2022	3	21
simplewiki	anonymous	n/a	ChenzwBot	1	1	2022	9	9
frwiki	registered	0-99	Salebot	1	1	2023	6	3
bgwiki	anonymous	n/a	PSS 9	1	0	2021	4	30
frwiki	anonymous	n/a	Salebot	3	1	2020	11	17
frwiki	anonymous	n/a	Salebot	8	4	2021	2	6
enwiki	registered	0-99	ClueBot NG	1	0	2022	7	9
frwiki	anonymous	n/a	Salebot	5	3	2021	10	5
simplewiki	anonymous	n/a	ChenzwBot	2	2	2021	6	16
bgwiki	anonymous	n/a	PSS 9	1	1	2022	11	16
bgwiki	registered	0-99	PSS 9	1	0	2022	8	19
eswiki	registered	0-99	SeroBOT	11	6	2021	6	17
eswiki	anonymous	n/a	SeroBOT	117	75	2021	6	9
eswiki	anonymous	n/a	SeroBOT	110	78	2021	6	10
eswiki	anonymous	n/a	SeroBOT	70	46	2022	10	19
eswiki	anonymous	n/a	SeroBOT	32	20	2023	1	17
ruwiki	anonymous	n/a	Рейму Хакурей	13	7	2022	5	1
ruwiki	anonymous	n/a	Рейму Хакурей	7	2	2023	1	9
enwiki	registered	0-99	ClueBot NG	13	6	2021	12	28
ruwiki	anonymous	n/a	Рейму Хакурей	10	2	2021	4	30
eswiki	registered	0-99	SeroBOT	13	7	2021	5	2
bgwiki	anonymous	n/a	PSS 9	1	0	2023	4	19
frwiki	anonymous	n/a	Salebot	3	2	2020	9	27
ruwiki	anonymous	n/a	Рейму Хакурей	6	2	2021	5	20
enwiki	anonymous	n/a	ClueBot NG	10	3	2022	9	9
enwiki	registered	0-99	ClueBot NG	11	7	2022	12	1
ruwiki	anonymous	n/a	Рейму Хакурей	2	1	2021	6	12
frwiki	anonymous	n/a	Salebot	1	0	2022	3	5
ruwiki	anonymous	n/a	Рейму Хакурей	3	2	2020	10	1
ruwiki	registered	0-99	Рейму Хакурей	2	2	2022	9	11
eswiki	registered	500+	SeroBOT	2	2	2020	12	13
ruwiki	anonymous	n/a	Рейму Хакурей	3	1	2023	6	3
simplewiki	anonymous	n/a	ChenzwBot	5	4	2022	4	2
ruwiki	anonymous	n/a	Рейму Хакурей	11	0	2021	11	24
eswiki	registered	0-99	SeroBOT	5	1	2022	9	22
simplewiki	anonymous	n/a	ChenzwBot	4	4	2020	7	15
enwiki	anonymous	n/a	ClueBot NG	56	26	2021	2	25
enwiki	registered	0-99	ClueBot NG	5	2	2022	4	16
eswiki	anonymous	n/a	SeroBOT	67	34	2021	7	13
eswiki	anonymous	n/a	SeroBOT	80	49	2021	8	5
enwiki	anonymous	n/a	ClueBot NG	33	12	2021	6	27
eswiki	anonymous	n/a	SeroBOT	58	23	2022	8	26
eswiki	anonymous	n/a	SeroBOT	32	17	2023	5	20
eswiki	anonymous	n/a	SeroBOT	62	33	2023	3	13
ruwiki	anonymous	n/a	Рейму Хакурей	12	5	2022	11	16
enwiki	anonymous	n/a	ClueBot NG	47	11	2020	10	21
eswiki	registered	0-99	SeroBOT	3	1	2021	12	4
eswiki	anonymous	n/a	SeroBOT	35	21	2022	12	9
frwiki	anonymous	n/a	Salebot	15	15	2022	4	28
ruwiki	anonymous	n/a	Рейму Хакурей	9	3	2020	9	24
ruwiki	anonymous	n/a	Рейму Хакурей	10	4	2022	5	26
enwiki	registered	0-99	ClueBot NG	12	4	2020	12	1
eswiki	registered	0-99	SeroBOT	15	6	2023	6	7
eswiki	anonymous	n/a	SeroBOT	54	34	2022	7	26
rowiki	anonymous	n/a	PatrocleBot	6	5	2022	8	28
fawiki	anonymous	n/a	Dexbot	31	12	2022	9	12
ruwiki	anonymous	n/a	Рейму Хакурей	2	1	2023	5	27
simplewiki	anonymous	n/a	ChenzwBot	12	1	2023	3	6
