	year	month	ymonth	content_revert	content_revert	non_content_edit	non_content_edit
				sum	mean	sum	mean
0	2010	10	2010-10	0	0	1	1
1	2010	11	2010-11	45176	1613	44905	1604
2	2010	12	2010-12	46536	1501	46604	1503
3	2011	1	2011-01	61605	1987	61444	1982
4	2011	2	2011-02	46746	1870	46727	1869
5	2011	3	2011-03	34982	1521	34940	1519
6	2011	4	2011-04	9141	1306	9146	1307
7	2011	5	2011-05	40874	1362	40622	1354
8	2011	6	2011-06	30592	1093	30650	1095
9	2011	7	2011-07	28501	919	28529	920
10	2011	8	2011-08	23987	857	24025	858
11	2011	9	2011-09	40897	1363	40867	1362
12	2011	10	2011-10	45711	1475	45499	1468
13	2011	11	2011-11	41642	1487	41553	1484
14	2011	12	2011-12	24095	1048	24145	1050
15	2012	1	2012-01	43225	1394	42989	1387
16	2012	2	2012-02	47127	1625	46952	1619
17	2012	3	2012-03	44240	1427	44205	1426
18	2012	4	2012-04	39473	1316	39410	1314
19	2012	5	2012-05	36807	1187	36748	1185
20	2012	6	2012-06	26801	893	26738	891
21	2012	7	2012-07	18931	611	18925	610
22	2012	8	2012-08	24772	799	24810	800
23	2012	9	2012-09	35672	1189	35660	1189
24	2012	10	2012-10	43827	1414	43735	1411
25	2012	11	2012-11	43736	1458	43731	1458
26	2012	12	2012-12	36112	1165	36138	1166
27	2013	1	2013-01	40014	1291	40034	1291
28	2013	2	2013-02	37429	1337	37469	1338
29	2013	3	2013-03	27772	926	27795	926
30	2013	4	2013-04	27578	919	27610	920
31	2013	5	2013-05	27668	893	27666	892
32	2013	6	2013-06	16099	537	16148	538
33	2013	7	2013-07	10153	338	10187	340
34	2013	8	2013-08	17751	573	17759	573
35	2013	9	2013-09	14415	515	14439	516
36	2013	10	2013-10	16066	595	16027	594
37	2013	11	2013-11	30167	1160	29596	1138
38	2013	12	2013-12	19509	813	19483	812
39	2014	1	2014-01	31470	1015	31466	1015
40	2014	2	2014-02	31279	1117	31204	1114
41	2014	3	2014-03	32984	1064	32889	1061
42	2014	4	2014-04	28817	961	28786	960
43	2014	5	2014-05	30249	976	30232	975
44	2014	6	2014-06	20763	692	20703	690
