year	month	ymonth	revert_percent
2010	10	2010-10	0.0
2010	11	2010-11	15.36
2010	12	2010-12	15.85
2011	1	2011-01	16.03
2011	2	2011-02	15.67
2011	3	2011-03	15.83
2011	4	2011-04	15.41
2011	5	2011-05	16.59
2011	6	2011-06	16.82
2011	7	2011-07	16.83
2011	8	2011-08	17.08
2011	9	2011-09	15.35
2011	10	2011-10	15.51
2011	11	2011-11	15.69
2011	12	2011-12	16.47
2012	1	2012-01	15.54
2012	2	2012-02	14.91
2012	3	2012-03	14.72
2012	4	2012-04	15.37
2012	5	2012-05	15.21
2012	6	2012-06	15.94
2012	7	2012-07	16.69
2012	8	2012-08	14.91
2012	9	2012-09	14.14
2012	10	2012-10	14.76
2012	11	2012-11	14.57
2012	12	2012-12	14.89
2013	1	2013-01	14.72
2013	2	2013-02	14.83
2013	3	2013-03	14.19
2013	4	2013-04	13.46
2013	5	2013-05	13.18
2013	6	2013-06	14.44
2013	7	2013-07	13.5
2013	8	2013-08	14.21
2013	9	2013-09	13.7
2013	10	2013-10	12.81
2013	11	2013-11	14.86
2013	12	2013-12	15.62
2014	1	2014-01	14.76
2014	2	2014-02	14.39
2014	3	2014-03	15.39
2014	4	2014-04	16.0
2014	5	2014-05	16.7
2014	6	2014-06	17.04
2014	7	2014-07	17.55
2014	8	2014-08	17.54
2014	9	2014-09	16.08
2014	10	2014-10	15.48
2014	11	2014-11	15.87
2014	12	2014-12	15.87
2015	1	2015-01	15.65
2015	2	2015-02	14.88
2015	3	2015-03	14.96
2015	4	2015-04	14.63
2015	5	2015-05	14.04
2015	6	2015-06	13.89
2015	7	2015-07	14.24
2015	8	2015-08	14.19
2015	9	2015-09	12.65
2015	10	2015-10	12.11
2015	11	2015-11	12.76
2015	12	2015-12	12.93
2016	1	2016-01	12.69
2016	2	2016-02	12.0
2016	3	2016-03	12.65
2016	4	2016-04	12.65
2016	5	2016-05	12.52
2016	6	2016-06	14.0
2016	7	2016-07	14.11
2016	8	2016-08	13.88
2016	9	2016-09	12.61
2016	10	2016-10	11.82
2016	11	2016-11	12.26
2016	12	2016-12	12.43
2017	1	2017-01	11.76
2017	2	2017-02	11.46
2017	3	2017-03	11.38
2017	4	2017-04	11.59
2017	5	2017-05	12.08
2017	6	2017-06	13.7
2017	7	2017-07	12.82
2017	8	2017-08	13.16
2017	9	2017-09	11.15
2017	10	2017-10	10.63
2017	11	2017-11	11.27
2017	12	2017-12	12.68
2018	1	2018-01	11.5
2018	2	2018-02	10.4
2018	3	2018-03	11.55
2018	4	2018-04	11.51
2018	5	2018-05	10.05
2018	6	2018-06	12.02
2018	7	2018-07	12.69
2018	8	2018-08	12.07
2018	9	2018-09	10.73
2018	10	2018-10	10.17
2018	11	2018-11	10.5
2018	12	2018-12	10.7
2019	1	2019-01	10.14
2019	2	2019-02	9.64
2019	3	2019-03	8.2
2019	4	2019-04	8.21
2019	5	2019-05	7.83
2019	6	2019-06	8.83
2019	7	2019-07	11.33
2019	8	2019-08	9.62
2019	9	2019-09	9.01
2019	10	2019-10	9.08
2019	11	2019-11	8.97
2019	12	2019-12	10.12
2020	1	2020-01	8.94
2020	2	2020-02	7.84
2020	3	2020-03	8.82
2020	4	2020-04	7.21
2020	5	2020-05	8.58
2020	6	2020-06	10.43
2020	7	2020-07	12.28
2020	8	2020-08	11.55
2020	9	2020-09	9.38
2020	10	2020-10	8.93
2020	11	2020-11	9.66
2020	12	2020-12	9.8
2021	1	2021-01	9.8
2021	2	2021-02	9.54
2021	3	2021-03	9.67
2021	4	2021-04	9.52
2021	5	2021-05	10.84
2021	6	2021-06	10.72
2021	7	2021-07	11.71
2021	8	2021-08	9.66
2021	9	2021-09	9.91
2021	10	2021-10	9.34
2021	11	2021-11	8.76
2021	12	2021-12	9.18
2022	1	2022-01	9.82
2022	2	2022-02	9.54
2022	3	2022-03	8.18
2022	4	2022-04	9.4
2022	5	2022-05	9.58
2022	6	2022-06	9.75
2022	7	2022-07	11.19
2022	8	2022-08	10.56
2022	9	2022-09	8.07
2022	10	2022-10	8.3
2022	11	2022-11	7.2
2022	12	2022-12	9.18
2023	1	2023-01	8.34
2023	2	2023-02	7.9
2023	3	2023-03	8.21
2023	4	2023-04	7.87
2023	5	2023-05	7.1
2023	6	2023-06	8.26
