wiki_db	t_99	t_985	t_98	t_975	t_97	t_965	t_96	t_955	t_95	t_94	t_93	t_92	t_91	t_9
enwiki	152	350	680	1077	1509	1953	2404	2859	3327	4308	5352	6450	7572	8689
eswiki	57	118	215	327	445	562	680	795	909	1143	1385	1631	1869	2098
itwiki	40	61	99	151	211	278	345	414	485	633	782	934	1091	1247
ruwiki	34	57	88	128	175	225	278	332	387	499	615	732	849	966
jawiki	27	37	48	61	79	101	126	155	186	256	333	415	503	595
frwiki	24	40	66	98	136	176	218	260	305	396	492	593	699	808
nlwiki	19	26	36	47	58	69	80	92	105	133	162	192	223	252
hewiki	16	22	30	38	48	59	71	84	96	122	148	174	200	226
dewiki	14	25	43	65	89	114	139	166	194	255	323	395	472	553
fawiki	13	26	44	67	92	119	146	174	202	257	309	360	410	459
kowiki	12	17	23	30	39	51	66	81	99	138	182	231	280	331
plwiki	10	16	25	35	45	57	69	82	96	127	160	197	234	271
zhwiki	9	16	25	37	53	73	97	123	152	215	284	354	428	503
arwiki	8	12	18	24	31	39	48	57	66	85	105	127	149	172
ukwiki	8	12	17	24	32	41	50	60	71	95	119	142	166	189
idwiki	7	11	18	29	42	57	74	91	109	149	191	233	276	317
viwiki	7	12	20	32	46	62	79	97	115	150	187	222	257	289
svwiki	6	9	13	18	23	29	34	40	46	59	73	87	101	115
simplewiki	6	9	13	17	22	27	32	38	44	57	71	86	101	115
nowiki	6	8	11	14	17	20	23	26	30	37	46	54	62	70
cawiki	5	7	9	12	14	16	18	21	24	30	36	43	50	56
thwiki	5	8	10	12	15	18	22	26	30	40	51	64	77	90
cswiki	5	8	11	15	20	26	31	36	41	52	64	76	87	100
bgwiki	4	6	11	16	21	26	31	35	40	50	60	71	80	89
trwiki	4	7	12	17	24	31	38	46	54	73	93	113	135	157
elwiki	4	7	10	14	19	24	30	35	41	54	68	81	95	108
mswiki	3	4	6	9	13	18	24	31	39	56	74	93	112	131
skwiki	3	4	5	6	8	11	13	16	18	23	29	34	40	45
ptwiki	2	7	14	21	30	38	46	55	64	84	104	125	145	165
slwiki	2	2	3	4	5	6	7	8	9	12	14	17	19	22
huwiki	2	4	6	8	11	15	18	22	25	33	40	49	57	66
lvwiki	2	3	4	4	5	6	7	8	9	11	13	15	17	19
rowiki	2	2	4	6	9	12	16	19	23	31	39	48	56	65
astwiki	2	2	2	2	2	2	2	2	2	2	3	3	3	4
arzwiki	2	2	2	2	2	2	2	3	3	3	3	4	4	5
ltwiki	1	2	3	4	5	6	7	8	9	12	15	18	21	24
hywiki	1	1	2	2	2	3	4	4	5	6	8	10	12	14
shwiki	1	1	1	1	2	2	3	3	4	5	6	8	9	10
hiwiki	1	2	3	5	7	10	13	17	21	30	40	50	60	69
kawiki	1	1	2	2	2	3	3	4	5	6	7	8	9	11
hrwiki	1	2	2	3	4	5	6	8	9	12	15	18	21	25
fiwiki	1	3	6	11	16	21	26	32	38	50	63	76	90	103
srwiki	1	3	4	6	9	12	15	19	22	31	40	49	58	67
uzwiki	1	1	1	1	2	2	3	4	4	6	8	10	13	15
etwiki	1	2	2	3	4	5	6	6	7	9	12	14	17	20
euwiki	1	1	1	1	2	2	3	3	4	5	6	7	9	10
azwiki	1	1	2	3	5	7	10	12	15	20	26	32	38	43
bnwiki	1	2	2	3	4	5	6	8	9	13	17	22	27	32
dawiki	1	3	4	5	7	9	11	13	16	21	26	31	37	42
tawiki	1	1	1	2	3	4	5	6	8	10	13	16	18	21
cebwiki	1	1	1	1	1	1	1	1	1	2	2	2	3	3
suwiki	0	0	0	0	0	0	0	0	1	1	1	1	1	2
xmfwiki	0	0	0	0	0	0	0	0	0	0	0	0	0	0
warwiki	0	0	0	0	0	0	0	0	0	0	0	1	1	1
pawiki	0	0	0	0	0	0	0	0	0	1	1	1	1	1
orwiki	0	0	0	0	0	0	0	0	0	0	0	0	0	1
wuuwiki	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ocwiki	0	0	0	0	0	0	0	0	0	0	0	1	1	1
yiwiki	0	0	0	0	0	0	0	1	1	1	2	2	3	3
nnwiki	0	0	0	0	1	1	1	1	1	1	2	2	2	2
vowiki	0	0	0	0	0	0	0	0	0	0	0	0	0	0
newiki	0	0	0	0	0	0	1	1	1	1	2	2	3	4
ndswiki	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nds_nlwiki	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mywiki	0	0	0	1	1	1	1	1	2	2	3	4	5	5
yowiki	0	0	0	0	0	0	0	0	0	0	0	0	0	1
zh_min_nanwiki	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zh_yuewiki	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mrwiki	0	0	0	1	1	1	2	2	3	4	6	7	9	10
pnbwiki	0	0	0	0	0	0	0	0	0	0	0	0	0	0
urwiki	0	0	1	1	1	2	2	2	3	4	5	7	8	9
vecwiki	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tewiki	0	0	0	1	1	1	1	1	2	2	3	4	5	5
mlwiki	0	0	1	1	1	2	2	3	4	6	8	10	12	14
sqwiki	0	0	1	1	1	1	2	2	3	4	5	6	8	9
sowiki	0	0	0	0	0	1	1	1	1	1	2	3	4	4
smnwiki	0	0	0	0	0	0	0	0	0	0	0	0	0	0
swwiki	0	0	0	0	0	0	1	1	1	1	1	1	2	2
szlwiki	0	0	0	0	0	0	0	0	0	0	0	0	0	0
siwiki	0	0	0	0	0	1	1	1	1	2	2	3	4	4
scowiki	0	0	0	0	0	0	0	1	1	1	1	1	2	2
quwiki	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tgwiki	0	0	0	0	0	0	0	0	0	1	1	1	1	1
tkwiki	0	0	0	0	0	0	0	0	0	0	1	1	1	1
scnwiki	0	0	0	0	0	0	0	0	0	0	0	0	0	1
tlwiki	0	0	1	1	1	1	1	2	2	3	3	4	5	6
sahwiki	0	0	0	0	0	0	0	0	0	1	1	2	2	3
rwwiki	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ttwiki	0	0	0	0	0	0	0	0	0	1	1	1	1	1
mnwiki	0	0	0	1	1	1	1	1	2	3	4	5	6	7
afwiki	0	0	1	1	1	1	1	1	2	2	3	3	4	4
mkwiki	0	0	0	0	1	1	1	1	2	2	3	3	4	5
bjnwiki	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fowiki	0	0	0	0	0	0	0	0	0	0	0	0	1	1
fiu_vrowiki	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eowiki	0	0	0	1	1	1	1	1	2	2	3	4	5	6
emlwiki	0	0	0	0	0	0	0	0	0	0	0	0	0	0
diqwiki	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cywiki	0	0	0	0	0	0	1	1	1	1	2	2	2	3
cvwiki	0	0	0	0	0	0	0	0	0	0	0	0	1	1
crhwiki	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ckbwiki	0	0	0	0	1	1	1	1	1	2	2	2	3	3
cewiki	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bswiki	0	0	0	1	1	1	1	1	1	2	2	3	3	4
brwiki	0	0	0	0	0	1	1	1	1	1	2	2	3	4
bhwiki	0	0	0	0	0	0	0	0	0	0	1	1	1	1
fywiki	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bewiki	0	0	0	1	1	1	1	1	2	2	3	4	5	6
be_x_oldwiki	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bclwiki	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bawiki	0	0	0	0	0	0	0	0	0	0	0	0	1	1
